,username,tweet,link,date,language,near
45,DTWICK45,"@CawthornforNC The proof is, lock down slows the spread but once done it gets worst because people now get exposed. Makes things real bad! So we should have the Covid Parties. Get it all over with",https://twitter.com/DTWICK45/status/1465824604979666957,2021-12-01 02:26:34,en,New Jersey
46,mgallagher465,"@ChrisCillizza What about OAN or Newsmax? Because frankly, COVID coverage is done, nothing new, 10 minute segment tops. Don't care about Omicron.  Give me Smollet &amp; Ghislaine Maxwell trial updates, US Citizens &amp; allies trapped in Afghanistan, &amp; some Biden bloopers.",https://twitter.com/mgallagher465/status/1465824283880574978,2021-12-01 02:25:17,en,New Jersey
47,TruthSeeker2328,@EmmaPot39849492 @VP People who get Covid shots are still dying. Wake up people..  https://t.co/N3a8XpLvVC,https://twitter.com/TruthSeeker2328/status/1465824177416552448,2021-12-01 02:24:52,en,New Jersey
48,burgwx,"Maybe I missed it having been in Oklahoma for the last few years, or covid &amp; election season last year masked it, or it's actually getting worse, but long range snowstorm hype has been the worst of all the years I recall.",https://twitter.com/burgwx/status/1465822148006592512,2021-12-01 02:16:48,en,New Jersey
49,hoodietrades,@KTMcCormick2 @tahliasarv Why not ban cigarettes first? They kill more people than covid.,https://twitter.com/hoodietrades/status/1465821964661149696,2021-12-01 02:16:04,en,New Jersey
50,cw_doran,@CoriBush 3 stages of psychosis. I'm saying your defenitly in acute stage. It's time for recovery stage. Don't worry about covid or Medicare for all. Worry about medication for you. Seroquel shots with a olanzipane chaser may do the trick. Help is just a phone call away.. be brave.,https://twitter.com/cw_doran/status/1465820375825145857,2021-12-01 02:09:45,en,New Jersey
51,NotTheGuy099,@Patricia_Traina Ok who has covid?,https://twitter.com/NotTheGuy099/status/1465816574410072064,2021-12-01 01:54:39,en,New Jersey
52,amgoth2000,Vermont shatters previous record of COVID-19 hospitalizations  https://t.co/GTkJTxYsdj,https://twitter.com/amgoth2000/status/1465816430436392962,2021-12-01 01:54:05,en,New Jersey
53,DamienJacque,"I think I got covid, whole family got it so the odds are against me. If only my teammates held onto the oddball to score. Juggling isn’t viable.",https://twitter.com/DamienJacque/status/1465815881615818762,2021-12-01 01:51:54,en,New Jersey
54,DynastyHumbleSR,"Well I got Covid, Wife &amp; kids popped negative. Thank god. I’ll be fine. 10 days alone is pretty boring. Drop some shows/movies. Can be anything. I have nothing but time at this point. Thanks in advice fam.",https://twitter.com/DynastyHumbleSR/status/1465814951088603139,2021-12-01 01:48:12,en,New Jersey
55,njdotcom,"‘Nothing in the cards’ for new COVID lockdowns or mandates in N.J. as worry grows over omicron variant, Murphy says  https://t.co/DsI0PBlxv8  https://t.co/cDmaDLnDzi",https://twitter.com/njdotcom/status/1465811836104757249,2021-12-01 01:35:49,en,New Jersey
